Threshold,Error-Rate,Strip,Haplotype,Matrix-Size,Time-Pre-Processing,Time-Post-Processing,Steps-Count,Unused-Cols,Final-Clusters,Orphan-Reads
0.01,0.01,5,4,(21, 35),0.0016911029815673828,0.0010981559753417969,2,10,2,0
0.01,0.01,5,4,(31, 35),0.0020837783813476562,0.0012469291687011719,3,10,4,0
0.01,0.01,5,4,(32, 38),0.0021314620971679688,0.0011153221130371094,3,9,4,0
0.01,0.01,5,4,(24, 35),0.0010077953338623047,0.0007989406585693359,2,11,2,0
0.01,0.01,5,4,(35, 34),0.001344442367553711,0.0011718273162841797,3,10,4,0
0.01,0.01,5,4,(27, 34),0.00189208984375,0.001650094985961914,3,8,4,0
0.01,0.01,5,4,(36, 32),0.00070953369140625,0.00028133392333984375,1,16,1,0
0.01,0.01,5,4,(35, 24),0.0013093948364257812,0.0009052753448486328,2,9,2,0
0.01,0.01,5,6,(49, 25),0.0005204677581787109,0.000293731689453125,1,17,1,0
0.01,0.01,5,6,(46, 29),0.0019989013671875,0.0010528564453125,4,9,6,0
0.01,0.01,5,6,(44, 38),0.0014824867248535156,0.0014181137084960938,3,12,4,0
0.01,0.01,5,6,(37, 33),0.0027701854705810547,0.0014140605926513672,3,13,4,0
0.01,0.01,5,6,(48, 35),0.0030517578125,0.0018880367279052734,4,11,6,0
0.01,0.01,5,6,(44, 29),0.001992464065551758,0.0007014274597167969,3,12,3,0
0.01,0.01,5,6,(45, 35),0.0017366409301757812,0.0014150142669677734,3,14,4,0
0.01,0.01,5,6,(49, 29),0.001627206802368164,0.0011749267578125,2,18,2,0
0.01,0.01,5,6,(41, 34),0.0023202896118164062,0.0012583732604980469,3,12,4,0
0.01,0.01,5,6,(52, 31),0.001970052719116211,0.0008494853973388672,3,14,4,0
0.01,0.01,5,8,(63, 36),0.0015358924865722656,0.0011491775512695312,3,19,4,0
0.01,0.01,5,8,(65, 31),0.0015985965728759766,0.0008039474487304688,2,21,2,0
0.01,0.01,5,8,(62, 36),0.0037064552307128906,0.0021169185638427734,4,16,8,0
0.01,0.01,5,8,(61, 33),0.0023262500762939453,0.0011439323425292969,3,19,8,0
0.01,0.01,5,8,(57, 32),0.0021975040435791016,0.001795053482055664,4,14,8,0
0.01,0.01,5,8,(62, 37),0.0021970272064208984,0.0011925697326660156,3,21,4,0
0.01,0.01,5,8,(63, 31),0.0011551380157470703,0.0009157657623291016,2,16,2,0
0.01,0.01,5,8,(63, 31),0.0006172657012939453,0.00020003318786621094,1,23,1,0
0.01,0.01,5,8,(60, 37),0.002536773681640625,0.001722097396850586,3,21,4,0
0.01,0.01,5,8,(65, 35),0.0017070770263671875,0.0014927387237548828,3,20,4,0
0.01,0.05,3,4,(28, 24),0.0007581710815429688,0.00016021728515625,0,24,1,0
0.01,0.05,3,4,(29, 20),0.0007181167602539062,0.00024271011352539062,0,20,1,0
0.01,0.05,3,4,(33, 24),0.0005307197570800781,0.00010848045349121094,0,24,1,0
0.01,0.05,3,4,(32, 22),0.000492095947265625,9.942054748535156e-05,0,22,1,0
0.01,0.05,3,4,(32, 22),0.0003936290740966797,0.00010395050048828125,0,22,1,0
0.01,0.05,3,4,(31, 21),0.00034546852111816406,9.083747863769531e-05,0,21,1,0
0.01,0.05,3,4,(26, 15),0.0005342960357666016,0.00011801719665527344,0,15,1,0
0.01,0.05,3,4,(32, 22),0.0009605884552001953,0.0005164146423339844,1,17,2,0
0.01,0.05,3,4,(31, 16),0.0003535747528076172,8.845329284667969e-05,0,16,1,0
0.01,0.05,3,4,(28, 21),0.00037360191345214844,0.00010085105895996094,0,21,1,0
0.01,0.05,3,6,(52, 21),0.0003476142883300781,0.0001227855682373047,0,21,1,0
0.01,0.05,3,6,(43, 22),0.0004477500915527344,0.0001049041748046875,0,22,1,0
0.01,0.05,3,6,(46, 21),0.00047516822814941406,0.00010514259338378906,0,21,1,0
0.01,0.05,3,6,(48, 18),0.0003445148468017578,0.00010180473327636719,0,18,1,0
0.01,0.05,3,6,(43, 14),0.00031113624572753906,9.5367431640625e-05,0,14,1,0
0.01,0.05,3,6,(42, 21),0.0005233287811279297,0.0001232624053955078,0,21,1,0
0.01,0.05,3,6,(43, 22),0.00046634674072265625,0.0001659393310546875,0,22,1,0
0.01,0.05,3,6,(45, 20),0.0007410049438476562,0.00020241737365722656,0,20,1,0
0.01,0.05,3,6,(44, 17),0.0005981922149658203,0.00011801719665527344,0,17,1,0
0.01,0.05,3,6,(41, 17),0.00041985511779785156,0.00010776519775390625,0,17,1,0
0.01,0.05,3,8,(58, 17),0.0003542900085449219,0.0001087188720703125,0,17,1,0
0.01,0.05,3,8,(65, 17),0.0003342628479003906,0.00011181831359863281,0,17,1,0
0.01,0.05,3,8,(65, 18),0.00034236907958984375,0.00011086463928222656,0,18,1,0
0.01,0.05,3,8,(52, 24),0.0006568431854248047,0.0002467632293701172,0,24,1,0
0.01,0.05,3,8,(66, 21),0.0004470348358154297,0.00011730194091796875,0,21,1,0
0.01,0.05,3,8,(57, 20),0.00035834312438964844,0.00010943412780761719,0,20,1,0
0.01,0.05,3,8,(66, 21),0.00035452842712402344,0.00011324882507324219,0,21,1,0
0.01,0.05,3,8,(54, 17),0.0003292560577392578,0.00010395050048828125,0,17,1,0
0.01,0.05,3,8,(67, 22),0.0003676414489746094,0.00011539459228515625,0,22,1,0
0.01,0.05,3,8,(54, 24),0.0005743503570556641,0.00023317337036132812,0,24,1,0
0.01,0.05,4,4,(31, 25),0.0006198883056640625,0.00010418891906738281,0,25,1,0
0.01,0.05,4,4,(26, 27),0.0008211135864257812,0.0001964569091796875,0,27,1,0
0.01,0.05,4,4,(31, 23),0.0007662773132324219,0.00017452239990234375,0,23,1,0
0.01,0.05,4,4,(32, 30),0.001054525375366211,0.0005986690521240234,1,26,2,0
0.01,0.05,4,4,(32, 26),0.00040340423583984375,0.00016498565673828125,0,26,1,0
0.01,0.05,4,4,(25, 24),0.00046944618225097656,0.0001723766326904297,1,18,1,0
0.01,0.05,4,4,(33, 30),0.0007429122924804688,0.0001666545867919922,0,30,1,0
0.01,0.05,4,4,(29, 27),0.0007216930389404297,0.00015664100646972656,0,27,1,0
0.01,0.05,4,4,(29, 31),0.0007295608520507812,0.00018143653869628906,0,31,1,0
0.01,0.05,4,4,(37, 25),0.0007483959197998047,0.00024962425231933594,1,21,1,0
0.01,0.05,4,6,(43, 23),0.0005044937133789062,0.00011396408081054688,0,23,1,0
0.01,0.05,4,6,(44, 24),0.0006825923919677734,0.00019431114196777344,0,24,1,0
0.01,0.05,4,6,(40, 31),0.0008041858673095703,0.0001952648162841797,0,31,1,0
0.01,0.05,4,6,(38, 24),0.0007958412170410156,0.0001556873321533203,0,24,1,0
0.01,0.05,4,6,(50, 28),0.0007832050323486328,0.00018858909606933594,0,28,1,0
0.01,0.05,4,6,(51, 28),0.0009527206420898438,0.00019812583923339844,0,28,1,0
0.01,0.05,4,6,(43, 29),0.0008020401000976562,0.00018548965454101562,0,29,1,0
0.01,0.05,4,6,(41, 28),0.0008108615875244141,0.00019550323486328125,0,28,1,0
0.01,0.05,4,6,(44, 27),0.0010223388671875,0.00025582313537597656,0,27,1,0
0.01,0.05,4,6,(46, 26),0.0007491111755371094,0.00017714500427246094,0,26,1,0
0.01,0.05,4,8,(66, 22),0.0006787776947021484,0.00020074844360351562,0,22,1,0
0.01,0.05,4,8,(64, 24),0.0013229846954345703,0.0005664825439453125,0,24,1,0
0.01,0.05,4,8,(51, 21),0.0007419586181640625,0.00019502639770507812,0,21,1,0
0.01,0.05,4,8,(61, 21),0.0006685256958007812,0.00019168853759765625,0,21,1,0
0.01,0.05,4,8,(53, 25),0.0007045269012451172,0.00018167495727539062,0,25,1,0
0.01,0.05,4,8,(64, 24),0.0006973743438720703,0.00021886825561523438,0,24,1,0
0.01,0.05,4,8,(67, 27),0.0007822513580322266,0.0002238750457763672,0,27,1,0
0.01,0.05,4,8,(69, 20),0.0006654262542724609,0.00020623207092285156,0,20,1,0
0.01,0.05,4,8,(56, 27),0.0006895065307617188,0.0001957416534423828,0,27,1,0
0.01,0.05,4,8,(69, 26),0.0007541179656982422,0.00021648406982421875,0,26,1,0
0.01,0.05,5,4,(27, 39),0.0010342597961425781,0.00045490264892578125,1,32,1,0
0.01,0.05,5,4,(32, 29),0.0009210109710693359,0.00016736984252929688,0,29,1,0
0.01,0.05,5,4,(26, 25),0.0006754398345947266,0.00018906593322753906,1,21,1,0
0.01,0.05,5,4,(33, 40),0.0007956027984619141,0.00022292137145996094,1,35,1,0
0.01,0.05,5,4,(31, 34),0.0008301734924316406,0.00024127960205078125,1,29,1,0
0.01,0.05,5,4,(30, 34),0.0009541511535644531,0.00021910667419433594,1,29,1,0
0.01,0.05,5,4,(30, 40),0.001642465591430664,0.0009875297546386719,2,30,2,0
0.01,0.05,5,4,(31, 28),0.0007331371307373047,0.0002181529998779297,1,24,1,0
0.01,0.05,5,4,(35, 35),0.0007734298706054688,0.00022983551025390625,1,30,1,0
0.01,0.05,5,4,(34, 31),0.0007741451263427734,0.0001704692840576172,0,31,1,0
0.01,0.05,5,6,(45, 36),0.0014679431915283203,0.00020456314086914062,0,36,1,0
0.01,0.05,5,6,(50, 40),0.0009753704071044922,0.0002090930938720703,0,40,1,0
0.01,0.05,5,6,(46, 32),0.0007920265197753906,0.00018215179443359375,0,32,1,0
0.01,0.05,5,6,(44, 33),0.0007791519165039062,0.00019598007202148438,0,33,1,0
0.01,0.05,5,6,(48, 32),0.0007929801940917969,0.0001900196075439453,0,32,1,0
0.01,0.05,5,6,(51, 24),0.0007061958312988281,0.0001800060272216797,0,24,1,0
0.01,0.05,5,6,(48, 32),0.0008172988891601562,0.0002009868621826172,0,32,1,0
0.01,0.05,5,6,(47, 34),0.0005691051483154297,0.0001595020294189453,0,34,1,0
0.01,0.05,5,6,(41, 36),0.0005357265472412109,0.0001232624053955078,0,36,1,0
0.01,0.05,5,6,(45, 34),0.0006418228149414062,0.0001361370086669922,0,34,1,0
0.01,0.05,5,8,(59, 32),0.0009908676147460938,0.00013303756713867188,0,32,1,0
0.01,0.05,5,8,(58, 33),0.0008187294006347656,0.0001876354217529297,0,33,1,0
0.01,0.05,5,8,(69, 29),0.0007307529449462891,0.00016617774963378906,0,29,1,0
0.01,0.05,5,8,(66, 32),0.0006582736968994141,0.00013303756713867188,0,32,1,0
0.01,0.05,5,8,(64, 29),0.0004944801330566406,0.00022554397583007812,0,29,1,0
0.01,0.05,5,8,(61, 31),0.0005338191986083984,0.0001227855682373047,0,31,1,0
0.01,0.05,5,8,(61, 25),0.0004279613494873047,0.00011897087097167969,0,25,1,0
0.01,0.05,5,8,(60, 35),0.0008554458618164062,0.0002086162567138672,0,35,1,0
0.01,0.05,5,8,(61, 34),0.0008287429809570312,0.000202178955078125,0,34,1,0
0.01,0.05,5,8,(54, 32),0.0008196830749511719,0.0001983642578125,0,32,1,0
0.02,0.01,3,4,(30, 19),0.0024459362030029297,0.0013728141784667969,2,7,4,0
0.02,0.01,3,4,(27, 15),0.0019326210021972656,0.0008027553558349609,2,7,4,0
0.02,0.01,3,4,(32, 20),0.0012962818145751953,0.0009779930114746094,3,5,4,0
0.02,0.01,3,4,(30, 16),0.002068042755126953,0.0011012554168701172,2,5,4,0
0.02,0.01,3,4,(28, 16),0.0008103847503662109,0.0007226467132568359,2,7,2,0
0.02,0.01,3,4,(28, 21),0.0022499561309814453,0.0014033317565917969,3,4,4,0
0.02,0.01,3,4,(27, 21),0.002273082733154297,0.0008976459503173828,3,4,4,0
0.02,0.01,3,4,(23, 18),0.0009036064147949219,0.0007877349853515625,2,5,2,0
0.02,0.01,3,4,(27, 19),0.0008537769317626953,0.0005896091461181641,2,7,2,0
0.02,0.01,3,4,(28, 19),0.0013394355773925781,0.000904083251953125,2,8,4,0
0.02,0.01,3,6,(43, 21),0.0015668869018554688,0.0006659030914306641,2,11,4,0
0.02,0.01,3,6,(41, 20),0.0021545886993408203,0.001348257064819336,2,8,4,0
0.02,0.01,3,6,(41, 18),0.0014410018920898438,0.0006723403930664062,2,8,3,0
0.02,0.01,3,6,(43, 17),0.0008418560028076172,0.0005555152893066406,1,12,2,0
0.02,0.01,3,6,(46, 15),0.0012478828430175781,0.0008189678192138672,2,6,4,0
0.02,0.01,3,6,(47, 15),0.0007884502410888672,0.0005674362182617188,1,10,2,0
0.02,0.01,3,6,(47, 14),0.0007712841033935547,0.0005521774291992188,1,10,2,0
0.02,0.01,3,6,(52, 19),0.0020437240600585938,0.0013442039489746094,2,9,4,0
0.02,0.01,3,6,(38, 22),0.002453327178955078,0.0013663768768310547,2,9,3,0
0.02,0.01,3,6,(49, 20),0.002507925033569336,0.0012366771697998047,2,9,4,0
0.02,0.01,3,8,(57, 15),0.0020885467529296875,0.0009067058563232422,1,11,2,0
0.02,0.01,3,8,(68, 18),0.0023810863494873047,0.0014297962188720703,2,7,4,0
0.02,0.01,3,8,(59, 26),0.0030493736267089844,0.0012199878692626953,3,9,8,0
0.02,0.01,3,8,(60, 25),0.0020906925201416016,0.0011394023895263672,3,8,8,0
0.02,0.01,3,8,(54, 17),0.0017385482788085938,0.00115966796875,3,3,8,0
0.02,0.01,3,8,(57, 15),0.0014519691467285156,0.0007550716400146484,2,6,4,0
0.02,0.01,3,8,(59, 23),0.0029435157775878906,0.0017118453979492188,3,6,8,0
0.02,0.01,3,8,(66, 21),0.0017261505126953125,0.001007080078125,2,9,4,0
0.02,0.01,3,8,(57, 22),0.0020246505737304688,0.0011110305786132812,3,5,8,0
0.02,0.01,3,8,(58, 18),0.0008542537689208984,0.0007536411285400391,1,12,2,0
0.02,0.01,4,4,(32, 28),0.0009148120880126953,0.0006144046783447266,2,9,2,0
0.02,0.01,4,4,(31, 26),0.0014293193817138672,0.0011208057403564453,3,5,4,0
0.02,0.01,4,4,(33, 21),0.0020902156829833984,0.0011096000671386719,3,6,4,0
0.02,0.01,4,4,(29, 25),0.0003917217254638672,0.00015926361083984375,1,12,1,0
0.02,0.01,4,4,(33, 21),0.001161813735961914,0.0007061958312988281,2,8,2,0
0.02,0.01,4,4,(28, 24),0.0013387203216552734,0.0008041858673095703,3,5,4,0
0.02,0.01,4,4,(27, 22),0.0008893013000488281,0.0005676746368408203,2,8,2,0
0.02,0.01,4,4,(28, 27),0.000774383544921875,0.0005779266357421875,2,10,2,0
0.02,0.01,4,4,(27, 22),0.0007915496826171875,0.0005657672882080078,2,7,2,0
0.02,0.01,4,4,(27, 25),0.0016057491302490234,0.0010232925415039062,2,8,2,0
0.02,0.01,4,6,(49, 22),0.0013606548309326172,0.0007936954498291016,2,11,2,0
0.02,0.01,4,6,(50, 25),0.0020949840545654297,0.0013186931610107422,4,6,6,0
0.02,0.01,4,6,(51, 27),0.00148773193359375,0.0007584095001220703,3,9,3,0
0.02,0.01,4,6,(39, 30),0.0016970634460449219,0.001168966293334961,3,13,6,0
0.02,0.01,4,6,(48, 24),0.001989126205444336,0.0011210441589355469,2,15,4,0
0.02,0.01,4,6,(42, 25),0.0014770030975341797,0.0008852481842041016,2,14,2,0
0.02,0.01,4,6,(42, 25),0.0013995170593261719,0.0007348060607910156,3,10,3,0
0.02,0.01,4,6,(49, 24),0.0008871555328369141,0.0006132125854492188,2,14,2,0
0.02,0.01,4,6,(44, 23),0.0008997917175292969,0.0007023811340332031,1,18,2,0
0.02,0.01,4,6,(50, 30),0.0021822452545166016,0.001567840576171875,4,7,6,0
0.02,0.01,4,8,(69, 24),0.0017707347869873047,0.0010137557983398438,1,19,2,0
0.02,0.01,4,8,(66, 29),0.002866029739379883,0.0011799335479736328,3,12,8,0
0.02,0.01,4,8,(61, 28),0.0018792152404785156,0.0016033649444580078,3,13,4,0
0.02,0.01,4,8,(69, 27),0.003824472427368164,0.002638101577758789,4,8,8,0
0.02,0.01,4,8,(60, 26),0.003523588180541992,0.0022025108337402344,4,7,8,0
0.02,0.01,4,8,(63, 30),0.002432584762573242,0.0012624263763427734,4,9,8,0
0.02,0.01,4,8,(58, 33),0.0022444725036621094,0.0020220279693603516,4,11,8,0
0.02,0.01,4,8,(69, 28),0.0023643970489501953,0.0009894371032714844,3,13,4,0
0.02,0.01,4,8,(69, 27),0.0026242733001708984,0.0009322166442871094,3,14,4,0
0.02,0.01,4,8,(66, 28),0.0014262199401855469,0.0008618831634521484,3,13,4,0
0.02,0.01,5,4,(26, 34),0.0010144710540771484,0.0005428791046142578,2,11,2,0
0.02,0.01,5,4,(30, 31),0.0013265609741210938,0.0012993812561035156,3,7,4,0
0.02,0.01,5,4,(29, 33),0.002036571502685547,0.001153707504272461,3,8,4,0
0.02,0.01,5,4,(37, 27),0.0005245208740234375,0.00019288063049316406,1,12,1,0
0.02,0.01,5,4,(31, 30),0.0017313957214355469,0.0011560916900634766,3,8,4,0
0.02,0.01,5,4,(29, 33),0.0013318061828613281,0.0010461807250976562,3,7,4,0
0.02,0.01,5,4,(29, 27),0.0008981227874755859,0.0007188320159912109,2,9,2,0
0.02,0.01,5,4,(27, 35),0.001384735107421875,0.0007305145263671875,3,9,4,0
0.02,0.01,5,4,(24, 41),0.0017464160919189453,0.0014367103576660156,3,9,4,0
0.02,0.01,5,4,(30, 32),0.0018658638000488281,0.0009732246398925781,3,8,4,0
0.02,0.01,5,6,(42, 32),0.0022897720336914062,0.0008742809295654297,3,12,4,0
0.02,0.01,5,6,(50, 28),0.0011448860168457031,0.0008597373962402344,2,15,2,0
0.02,0.01,5,6,(45, 34),0.0015590190887451172,0.0007576942443847656,3,13,4,0
0.02,0.01,5,6,(42, 35),0.0025644302368164062,0.0020627975463867188,4,11,6,0
0.02,0.01,5,6,(45, 33),0.0016193389892578125,0.0009813308715820312,2,17,2,0
0.02,0.01,5,6,(48, 40),0.0030498504638671875,0.0010807514190673828,4,14,6,0
0.02,0.01,5,6,(44, 28),0.0004546642303466797,0.00014662742614746094,1,19,1,0
0.02,0.01,5,6,(44, 30),0.0008823871612548828,0.0006387233734130859,2,16,2,0
0.02,0.01,5,6,(48, 35),0.0016489028930664062,0.0014183521270751953,3,15,4,0
0.02,0.01,5,6,(49, 34),0.002026081085205078,0.0011000633239746094,2,21,2,0
0.02,0.01,5,8,(63, 27),0.002937793731689453,0.0014891624450683594,3,12,4,0
0.02,0.01,5,8,(64, 40),0.003338336944580078,0.0026865005493164062,4,18,8,0
0.02,0.01,5,8,(56, 26),0.0009369850158691406,0.00035262107849121094,1,17,1,0
0.02,0.01,5,8,(56, 31),0.0027260780334472656,0.0019741058349609375,3,11,4,0
0.02,0.01,5,8,(55, 39),0.0031554698944091797,0.0024645328521728516,4,11,8,0
0.02,0.01,5,8,(67, 35),0.003204822540283203,0.0020728111267089844,3,16,4,0
0.02,0.01,5,8,(55, 31),0.0026161670684814453,0.0014765262603759766,3,12,4,0
0.02,0.01,5,8,(60, 31),0.002479076385498047,0.0014336109161376953,3,11,4,0
0.02,0.01,5,8,(63, 36),0.0031392574310302734,0.0020542144775390625,4,10,8,0
0.02,0.01,5,8,(63, 29),0.0015897750854492188,0.0008537769317626953,3,12,4,0
0.02,0.05,3,4,(32, 20),0.0003986358642578125,9.72747802734375e-05,0,20,1,0
0.02,0.05,3,4,(32, 22),0.0003693103790283203,9.1552734375e-05,0,22,1,0
0.02,0.05,3,4,(26, 17),0.0005071163177490234,0.000152587890625,0,17,1,0
0.02,0.05,3,4,(25, 16),0.0005118846893310547,0.00010466575622558594,0,16,1,0
0.02,0.05,3,4,(31, 19),0.0007030963897705078,0.00022125244140625,0,19,1,0
0.02,0.05,3,4,(27, 20),0.00035834312438964844,8.916854858398438e-05,0,20,1,0
0.02,0.05,3,4,(33, 17),0.0003447532653808594,8.96453857421875e-05,0,17,1,0
0.02,0.05,3,4,(33, 18),0.0003726482391357422,8.916854858398438e-05,0,18,1,0
0.02,0.05,3,4,(26, 19),0.00033354759216308594,8.320808410644531e-05,0,19,1,0
0.02,0.05,3,4,(33, 21),0.0003466606140136719,9.965896606445312e-05,0,21,1,0
0.02,0.05,3,6,(57, 17),0.0005655288696289062,0.0002148151397705078,0,17,1,0
0.02,0.05,3,6,(45, 17),0.0007009506225585938,0.00016498565673828125,0,17,1,0
0.02,0.05,3,6,(49, 14),0.0007727146148681641,0.00020623207092285156,0,14,1,0
0.02,0.05,3,6,(49, 16),0.0004975795745849609,0.00011301040649414062,0,16,1,0
0.02,0.05,3,6,(46, 19),0.0004611015319824219,0.00012612342834472656,0,19,1,0
0.02,0.05,3,6,(43, 15),0.0003979206085205078,0.00010013580322265625,0,15,1,0
0.02,0.05,3,6,(48, 25),0.0005004405975341797,0.00010848045349121094,0,25,1,0
0.02,0.05,3,6,(46, 22),0.0004394054412841797,0.0001049041748046875,0,22,1,0
0.02,0.05,3,6,(49, 16),0.00033664703369140625,0.00014853477478027344,0,16,1,0
0.02,0.05,3,6,(39, 21),0.0003960132598876953,0.00019693374633789062,0,21,1,0
0.02,0.05,3,8,(64, 22),0.0005083084106445312,0.00012087821960449219,0,22,1,0
0.02,0.05,3,8,(68, 21),0.0004286766052246094,0.00011706352233886719,0,21,1,0
0.02,0.05,3,8,(69, 22),0.00041556358337402344,0.00011610984802246094,0,22,1,0
0.02,0.05,3,8,(54, 23),0.0004017353057861328,0.00010609626770019531,0,23,1,0
0.02,0.05,3,8,(57, 16),0.0003161430358886719,0.0001468658447265625,0,16,1,0
0.02,0.05,3,8,(59, 19),0.00034117698669433594,0.00010848045349121094,0,19,1,0
0.02,0.05,3,8,(61, 23),0.0006997585296630859,0.00020122528076171875,0,23,1,0
0.02,0.05,3,8,(53, 19),0.0006978511810302734,0.00021338462829589844,0,19,1,0
0.02,0.05,3,8,(56, 25),0.0007617473602294922,0.0002167224884033203,0,25,1,0
0.02,0.05,3,8,(62, 18),0.0005509853363037109,0.00012421607971191406,0,18,1,0
0.02,0.05,4,4,(26, 26),0.0009458065032958984,0.0008158683776855469,1,22,2,0
0.02,0.05,4,4,(26, 23),0.0005910396575927734,9.632110595703125e-05,0,23,1,0
