sous_dossier,fichier,k_value,taille_matrice,nan_avant,nan_après
6,matrix_edge_191_0.csv,9,37×309,3451,8
6,matrix_edge_191_0.csv,10,37×309,3451,0
6,matrix_edge_191_0.csv,11,37×309,3451,0
6,matrix_edge_191_0.csv,12,37×309,3451,0
6,matrix_edge_191_0.csv,13,37×309,3451,0
6,matrix_edge_191_0.csv,14,37×309,3451,0
6,matrix_edge_191_0.csv,15,37×309,3451,0
6,matrix_edge_191_0.csv,16,37×309,3451,0
6,matrix_edge_191_0.csv,17,37×309,3451,0
6,matrix_edge_191_0.csv,18,37×309,3451,0
6,matrix_edge_191_0.csv,19,37×309,3451,0
6,matrix_edge_191_0.csv,20,37×309,3451,0
6,matrix_edge_191_0.csv,21,37×309,3451,0
6,matrix_edge_191_0.csv,22,37×309,3451,0
6,matrix_edge_191_0.csv,23,37×309,3451,0
6,matrix_edge_191_0.csv,24,37×309,3451,0
6,matrix_edge_191_0.csv,25,37×309,3451,0
6,matrix_edge_146_25000.csv,5,147×249,11657,82
6,matrix_edge_146_25000.csv,6,147×249,11657,128
6,matrix_edge_146_25000.csv,7,147×249,11657,47
6,matrix_edge_146_25000.csv,8,147×249,11657,60
6,matrix_edge_146_25000.csv,9,147×249,11657,71
6,matrix_edge_146_25000.csv,10,147×249,11657,50
6,matrix_edge_146_25000.csv,11,147×249,11657,118
6,matrix_edge_146_25000.csv,12,147×249,11657,177
6,matrix_edge_146_25000.csv,13,147×249,11657,271
6,matrix_edge_146_25000.csv,14,147×249,11657,238
6,matrix_edge_146_25000.csv,15,147×249,11657,324
6,matrix_edge_146_25000.csv,16,147×249,11657,460
6,matrix_edge_146_25000.csv,17,147×249,11657,440
6,matrix_edge_146_25000.csv,18,147×249,11657,580
6,matrix_edge_146_25000.csv,19,147×249,11657,707
6,matrix_edge_146_25000.csv,20,147×249,11657,686
6,matrix_edge_146_25000.csv,21,147×249,11657,813
6,matrix_edge_146_25000.csv,22,147×249,11657,848
6,matrix_edge_146_25000.csv,23,147×249,11657,880
6,matrix_edge_146_25000.csv,24,147×249,11657,803
6,matrix_edge_146_25000.csv,25,147×249,11657,834
6,matrix_edge_311_70000.csv,5,256×226,19252,202
6,matrix_edge_311_70000.csv,6,256×226,19252,297
6,matrix_edge_311_70000.csv,7,256×226,19252,70
6,matrix_edge_311_70000.csv,8,256×226,19252,111
6,matrix_edge_311_70000.csv,9,256×226,19252,147
6,matrix_edge_311_70000.csv,10,256×226,19252,59
6,matrix_edge_311_70000.csv,11,256×226,19252,81
6,matrix_edge_311_70000.csv,12,256×226,19252,110
6,matrix_edge_311_70000.csv,13,256×226,19252,125
6,matrix_edge_311_70000.csv,14,256×226,19252,62
6,matrix_edge_311_70000.csv,15,256×226,19252,82
6,matrix_edge_311_70000.csv,16,256×226,19252,92
6,matrix_edge_311_70000.csv,17,256×226,19252,60
6,matrix_edge_311_70000.csv,18,256×226,19252,76
6,matrix_edge_311_70000.csv,19,256×226,19252,93
6,matrix_edge_311_70000.csv,20,256×226,19252,81
6,matrix_edge_311_70000.csv,21,256×226,19252,91
6,matrix_edge_311_70000.csv,22,256×226,19252,119
6,matrix_edge_311_70000.csv,23,256×226,19252,152
6,matrix_edge_311_70000.csv,24,256×226,19252,142
6,matrix_edge_311_70000.csv,25,256×226,19252,163
6,matrix_edge_110_440000.csv,5,258×195,17094,207
6,matrix_edge_110_440000.csv,6,258×195,17094,298
6,matrix_edge_110_440000.csv,7,258×195,17094,53
6,matrix_edge_110_440000.csv,8,258×195,17094,76
6,matrix_edge_110_440000.csv,9,258×195,17094,101
6,matrix_edge_110_440000.csv,10,258×195,17094,31
6,matrix_edge_110_440000.csv,11,258×195,17094,49
6,matrix_edge_110_440000.csv,12,258×195,17094,71
6,matrix_edge_110_440000.csv,13,258×195,17094,89
6,matrix_edge_110_440000.csv,14,258×195,17094,39
6,matrix_edge_110_440000.csv,15,258×195,17094,53
6,matrix_edge_110_440000.csv,16,258×195,17094,72
6,matrix_edge_110_440000.csv,17,258×195,17094,31
6,matrix_edge_110_440000.csv,18,258×195,17094,48
6,matrix_edge_110_440000.csv,19,258×195,17094,76
6,matrix_edge_110_440000.csv,20,258×195,17094,39
6,matrix_edge_110_440000.csv,21,258×195,17094,66
6,matrix_edge_110_440000.csv,22,258×195,17094,84
6,matrix_edge_110_440000.csv,23,258×195,17094,130
6,matrix_edge_110_440000.csv,24,258×195,17094,82
6,matrix_edge_110_440000.csv,25,258×195,17094,130
6,matrix_edge_165_115000.csv,5,253×173,14424,212
6,matrix_edge_165_115000.csv,6,253×173,14424,291
6,matrix_edge_165_115000.csv,7,253×173,14424,74
6,matrix_edge_165_115000.csv,8,253×173,14424,105
6,matrix_edge_165_115000.csv,9,253×173,14424,140
6,matrix_edge_165_115000.csv,10,253×173,14424,45
6,matrix_edge_165_115000.csv,11,253×173,14424,65
6,matrix_edge_165_115000.csv,12,253×173,14424,94
6,matrix_edge_165_115000.csv,13,253×173,14424,115
6,matrix_edge_165_115000.csv,14,253×173,14424,60
6,matrix_edge_165_115000.csv,15,253×173,14424,67
6,matrix_edge_165_115000.csv,16,253×173,14424,81
6,matrix_edge_165_115000.csv,17,253×173,14424,54
6,matrix_edge_165_115000.csv,18,253×173,14424,69
6,matrix_edge_165_115000.csv,19,253×173,14424,95
6,matrix_edge_165_115000.csv,20,253×173,14424,51
6,matrix_edge_165_115000.csv,21,253×173,14424,78
6,matrix_edge_165_115000.csv,22,253×173,14424,91
6,matrix_edge_165_115000.csv,23,253×173,14424,112
6,matrix_edge_165_115000.csv,24,253×173,14424,74
6,matrix_edge_165_115000.csv,25,253×173,14424,131
6,matrix_edge_110_235000.csv,5,30×297,2789,31
6,matrix_edge_110_235000.csv,6,30×297,2789,48
6,matrix_edge_110_235000.csv,7,30×297,2789,2
6,matrix_edge_110_235000.csv,8,30×297,2789,5
6,matrix_edge_110_235000.csv,9,30×297,2789,5
6,matrix_edge_110_235000.csv,10,30×297,2789,1
6,matrix_edge_110_235000.csv,11,30×297,2789,1
6,matrix_edge_110_235000.csv,12,30×297,2789,4
6,matrix_edge_110_235000.csv,13,30×297,2789,9
6,matrix_edge_110_235000.csv,14,30×297,2789,1
6,matrix_edge_110_235000.csv,15,30×297,2789,6
6,matrix_edge_110_235000.csv,16,30×297,2789,10
6,matrix_edge_110_235000.csv,17,30×297,2789,3
6,matrix_edge_110_235000.csv,18,30×297,2789,7
6,matrix_edge_110_235000.csv,19,30×297,2789,9
6,matrix_edge_110_235000.csv,20,30×297,2789,0
6,matrix_edge_110_235000.csv,21,30×297,2789,0
6,matrix_edge_110_235000.csv,22,30×297,2789,0
6,matrix_edge_110_235000.csv,23,30×297,2789,0
6,matrix_edge_110_235000.csv,24,30×297,2789,0
6,matrix_edge_110_235000.csv,25,30×297,2789,0
6,matrix_edge_146_100000.csv,5,170×388,21447,508
6,matrix_edge_146_100000.csv,6,170×388,21447,687
6,matrix_edge_146_100000.csv,7,170×388,21447,248
6,matrix_edge_146_100000.csv,8,170×388,21447,340
6,matrix_edge_146_100000.csv,9,170×388,21447,437
6,matrix_edge_146_100000.csv,10,170×388,21447,189
6,matrix_edge_146_100000.csv,11,170×388,21447,265
6,matrix_edge_146_100000.csv,12,170×388,21447,369
6,matrix_edge_146_100000.csv,13,170×388,21447,479
6,matrix_edge_146_100000.csv,14,170×388,21447,320
6,matrix_edge_146_100000.csv,15,170×388,21447,402
6,matrix_edge_146_100000.csv,16,170×388,21447,481
6,matrix_edge_146_100000.csv,17,170×388,21447,385
6,matrix_edge_146_100000.csv,18,170×388,21447,537
6,matrix_edge_146_100000.csv,19,170×388,21447,684
6,matrix_edge_146_100000.csv,20,170×388,21447,579
6,matrix_edge_146_100000.csv,21,170×388,21447,694
6,matrix_edge_146_100000.csv,22,170×388,21447,833
6,matrix_edge_146_100000.csv,23,170×388,21447,991
6,matrix_edge_146_100000.csv,24,170×388,21447,930
6,matrix_edge_146_100000.csv,25,170×388,21447,1124
6,matrix_edge_316_85000.csv,5,250×216,17735,352
6,matrix_edge_316_85000.csv,6,250×216,17735,499
6,matrix_edge_316_85000.csv,7,250×216,17735,151
6,matrix_edge_316_85000.csv,8,250×216,17735,218
6,matrix_edge_316_85000.csv,9,250×216,17735,293
6,matrix_edge_316_85000.csv,10,250×216,17735,148
6,matrix_edge_316_85000.csv,11,250×216,17735,202
6,matrix_edge_316_85000.csv,12,250×216,17735,245
6,matrix_edge_316_85000.csv,13,250×216,17735,299
6,matrix_edge_316_85000.csv,14,250×216,17735,195
6,matrix_edge_316_85000.csv,15,250×216,17735,251
6,matrix_edge_316_85000.csv,16,250×216,17735,298
6,matrix_edge_316_85000.csv,17,250×216,17735,215
6,matrix_edge_316_85000.csv,18,250×216,17735,250
6,matrix_edge_316_85000.csv,19,250×216,17735,298
6,matrix_edge_316_85000.csv,20,250×216,17735,244
6,matrix_edge_316_85000.csv,21,250×216,17735,300
6,matrix_edge_316_85000.csv,22,250×216,17735,352
6,matrix_edge_316_85000.csv,23,250×216,17735,401
6,matrix_edge_316_85000.csv,24,250×216,17735,340
6,matrix_edge_316_85000.csv,25,250×216,17735,391
6,matrix_edge_165_125000.csv,5,277×187,16883,245
6,matrix_edge_165_125000.csv,6,277×187,16883,341
6,matrix_edge_165_125000.csv,7,277×187,16883,84
6,matrix_edge_165_125000.csv,8,277×187,16883,129
6,matrix_edge_165_125000.csv,9,277×187,16883,173
6,matrix_edge_165_125000.csv,10,277×187,16883,62
6,matrix_edge_165_125000.csv,11,277×187,16883,90
6,matrix_edge_165_125000.csv,12,277×187,16883,109
6,matrix_edge_165_125000.csv,13,277×187,16883,135
6,matrix_edge_165_125000.csv,14,277×187,16883,70
6,matrix_edge_165_125000.csv,15,277×187,16883,83
6,matrix_edge_165_125000.csv,16,277×187,16883,100
6,matrix_edge_165_125000.csv,17,277×187,16883,60
6,matrix_edge_165_125000.csv,18,277×187,16883,77
6,matrix_edge_165_125000.csv,19,277×187,16883,108
6,matrix_edge_165_125000.csv,20,277×187,16883,87
6,matrix_edge_165_125000.csv,21,277×187,16883,111
6,matrix_edge_165_125000.csv,22,277×187,16883,118
6,matrix_edge_165_125000.csv,23,277×187,16883,148
6,matrix_edge_165_125000.csv,24,277×187,16883,134
6,matrix_edge_165_125000.csv,25,277×187,16883,176
6,matrix_edge_110_475000.csv,5,244×146,11717,213
6,matrix_edge_110_475000.csv,6,244×146,11717,318
6,matrix_edge_110_475000.csv,7,244×146,11717,90
6,matrix_edge_110_475000.csv,8,244×146,11717,120
6,matrix_edge_110_475000.csv,9,244×146,11717,161
6,matrix_edge_110_475000.csv,10,244×146,11717,73
6,matrix_edge_110_475000.csv,11,244×146,11717,88
6,matrix_edge_110_475000.csv,12,244×146,11717,104
6,matrix_edge_110_475000.csv,13,244×146,11717,133
6,matrix_edge_110_475000.csv,14,244×146,11717,74
6,matrix_edge_110_475000.csv,15,244×146,11717,83
6,matrix_edge_110_475000.csv,16,244×146,11717,100
6,matrix_edge_110_475000.csv,17,244×146,11717,63
6,matrix_edge_110_475000.csv,18,244×146,11717,76
6,matrix_edge_110_475000.csv,19,244×146,11717,89
6,matrix_edge_110_475000.csv,20,244×146,11717,67
6,matrix_edge_110_475000.csv,21,244×146,11717,96
6,matrix_edge_110_475000.csv,22,244×146,11717,139
6,matrix_edge_110_475000.csv,23,244×146,11717,154
6,matrix_edge_110_475000.csv,24,244×146,11717,135
6,matrix_edge_110_475000.csv,25,244×146,11717,169
6,matrix_edge_95_25000.csv,5,77×867,20105,1529
6,matrix_edge_95_25000.csv,6,77×867,20105,2050
6,matrix_edge_95_25000.csv,7,77×867,20105,843
6,matrix_edge_95_25000.csv,8,77×867,20105,1184
6,matrix_edge_95_25000.csv,9,77×867,20105,1487
6,matrix_edge_95_25000.csv,10,77×867,20105,793
6,matrix_edge_95_25000.csv,11,77×867,20105,1039
6,matrix_edge_95_25000.csv,12,77×867,20105,1302
6,matrix_edge_95_25000.csv,13,77×867,20105,1541
6,matrix_edge_95_25000.csv,14,77×867,20105,1033
6,matrix_edge_95_25000.csv,15,77×867,20105,1232
6,matrix_edge_95_25000.csv,16,77×867,20105,1448
6,matrix_edge_95_25000.csv,17,77×867,20105,1072
6,matrix_edge_95_25000.csv,18,77×867,20105,1259
6,matrix_edge_95_25000.csv,19,77×867,20105,1447
6,matrix_edge_95_25000.csv,20,77×867,20105,1141
6,matrix_edge_95_25000.csv,21,77×867,20105,1302
6,matrix_edge_95_25000.csv,22,77×867,20105,1442
6,matrix_edge_95_25000.csv,23,77×867,20105,1619
6,matrix_edge_95_25000.csv,24,77×867,20105,1295
6,matrix_edge_95_25000.csv,25,77×867,20105,1447
6,matrix_edge_234_310000.csv,5,236×267,20828,417
6,matrix_edge_234_310000.csv,6,236×267,20828,556
6,matrix_edge_234_310000.csv,7,236×267,20828,201
6,matrix_edge_234_310000.csv,8,236×267,20828,275
6,matrix_edge_234_310000.csv,9,236×267,20828,372
6,matrix_edge_234_310000.csv,10,236×267,20828,214
6,matrix_edge_234_310000.csv,11,236×267,20828,273
6,matrix_edge_234_310000.csv,12,236×267,20828,349
6,matrix_edge_234_310000.csv,13,236×267,20828,426
6,matrix_edge_234_310000.csv,14,236×267,20828,317
6,matrix_edge_234_310000.csv,15,236×267,20828,425
6,matrix_edge_234_310000.csv,16,236×267,20828,540
6,matrix_edge_234_310000.csv,17,236×267,20828,444
6,matrix_edge_234_310000.csv,18,236×267,20828,535
6,matrix_edge_234_310000.csv,19,236×267,20828,604
6,matrix_edge_234_310000.csv,20,236×267,20828,537
6,matrix_edge_234_310000.csv,21,236×267,20828,738
6,matrix_edge_234_310000.csv,22,236×267,20828,973
6,matrix_edge_234_310000.csv,23,236×267,20828,1158
6,matrix_edge_234_310000.csv,24,236×267,20828,1066
6,matrix_edge_234_310000.csv,25,236×267,20828,1159
6,matrix_edge_186_300000.csv,5,102×131,4413,74
6,matrix_edge_186_300000.csv,6,102×131,4413,109
6,matrix_edge_186_300000.csv,7,102×131,4413,20
6,matrix_edge_186_300000.csv,8,102×131,4413,33
6,matrix_edge_186_300000.csv,9,102×131,4413,43
6,matrix_edge_186_300000.csv,10,102×131,4413,22
6,matrix_edge_186_300000.csv,11,102×131,4413,33
6,matrix_edge_186_300000.csv,12,102×131,4413,39
6,matrix_edge_186_300000.csv,13,102×131,4413,48
6,matrix_edge_186_300000.csv,14,102×131,4413,37
6,matrix_edge_186_300000.csv,15,102×131,4413,46
6,matrix_edge_186_300000.csv,16,102×131,4413,57
6,matrix_edge_186_300000.csv,17,102×131,4413,43
