,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9cdf36e0-886b-8c35-3116-b6c17be0ded1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3947be1a-40bf-a83d-a20c-d76a477ccdf3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0c4bd195-0831-3dc7-2b73-e05d1f5a5fee,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
94071cdd-5841-7b7d-629b-d202795902dd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
884c1210-77e6-50c9-d2d0-a6fab95693d9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93eb7c57-c65c-1577-253d-00e1d52caa7d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ca984269-7dd2-81ed-f1eb-34553577ce6e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6ce69f7b-e003-c40a-f7e2-ce0c5f4ba389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7f93c45e-e6e2-3b91-84d9-d39f6a1569ba,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
9495ef6b-fda7-a88d-4893-0983e7cbe842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b75b8af9-8d28-4bb6-c19e-73a7b2754d95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8b9a3cf1-d163-776c-18d2-1508c0022323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a028bede-42c7-938d-0a1c-91d2d3e60079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
df07c55f-b75f-5e59-ddb7-d5b792d71f24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
790a0f59-dfbb-f026-9fe9-ea7c76668317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
954b4a24-805a-4112-5932-3468bd4ebd19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71b571b8-69a2-9ed5-6ddd-2365f92dd663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aa14d548-8a70-2457-28f9-0677b5eba66f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
